Tanggal,Total
18/03/2020,227
19/03/2020,82
20/03/2020,47
21/03/2020,84
22/03/2020,68
23/03/2020,63
24/03/2020,110
25/03/2020,97
26/03/2020,95
27/03/2020,145
28/03/2020,107
29/03/2020,127
30/03/2020,125
31/03/2020,123
1/4/2020,149
2/4/2020,113
3/4/2020,193
4/4/2020,100
5/4/2020,176
6/4/2020,226
7/4/2020,247
8/4/2020,218
9/4/2020,337
10/4/2020,218
11/4/2020,330
12/4/2020,399
13/04/2020,325
14/04/2020,281
15/04/2020,297
16/04/2020,380
17/04/2020,408
18/04/2020,325
19/04/2020,327
20/04/2020,184
21/04/2020,375
22/04/2020,283
23/04/2020,358
24/04/2020,436
25/04/2020,396
26/04/2020,275
27/04/2020,214
28/04/2020,414
29/04/2020,260
30/04/2020,348
1/5/2020,433
2/5/2020,294
3/5/2020,349
4/5/2020,397
5/5/2020,484
6/5/2020,367
7/5/2020,338
8/5/2020,337
9/5/2020,533
10/5/2020,387
11/5/2020,233
12/5/2020,484
13/05/2020,689
14/05/2020,568
15/05/2020,490
16/05/2020,529
17/05/2020,489
18/05/2020,496
19/05/2020,486
20/05/2020,693
21/05/2020,973
22/05/2020,634
23/05/2020,949
24/05/2020,526
25/05/2020,479
26/05/2020,415
27/05/2020,786
28/05/2020,587
29/05/2020,678
30/05/2020,557
31/05/2020,700
1/6/2020,467
2/6/2020,609
3/6/2020,684
4/6/2020,585
5/6/2020,703
6/6/2020,993
7/6/2020,672
8/6/2020,847
9/6/2020,1043
10/6/2020,1240
11/6/2020,1000
12/6/2020,1111
13/06/2020,1014
14/06/2020,857
15/06/2020,1017
16/06/2020,1103
17/06/2020,1034
18/06/2020,1331
19/06/2020,1041
20/06/2020,1226
21/06/2020,862
22/06/2020,954
23/06/2020,1051
24/06/2020,1113
25/06/2020,1178
26/06/2020,1240
27/06/2020,1384
28/06/2020,1195
29/06/2020,1082
30/06/2020,1293
1/7/2020,1385
2/7/2020,1624
3/7/2020,1301
4/7/2020,1449
5/7/2020,1607
6/7/2020,1209
7/7/2020,1268
8/7/2020,1853
9/7/2020,2657
10/7/2020,1579
11/7/2020,1671
12/7/2020,1681
13/07/2020,1282
14/07/2020,1591
15/07/2020,1522
16/07/2020,1584
17/07/2020,1462
18/07/2020,1752
19/07/2020,1639
20/07/2020,1705
21/07/2020,1657
22/07/2020,1882
23/07/2020,1906
24/07/2020,1760
25/07/2020,1869
26/07/2020,1492
27/07/2020,1525
28/07/2020,1748
29/07/2020,2381
30/07/2020,1904
31/07/2020,2040
1/8/2020,1560
2/8/2020,1519
3/8/2020,1679
4/8/2020,1922
5/8/2020,1815
6/8/2020,1882
7/8/2020,2473
8/8/2020,2287
9/8/2020,1893
10/8/2020,1687
11/8/2020,1693
12/8/2020,1942
13/08/2020,2098
14/08/2020,2307
15/08/2020,2345
16/08/2020,2081
17/08/2020,1821
18/08/2020,1673
19/08/2020,1902
20/08/2020,2266
21/08/2020,2197
22/08/2020,2090
23/08/2020,2037
24/08/2020,1877
25/08/2020,2447
26/08/2020,2306
27/08/2020,2719
28/08/2020,3003
29/08/2020,3308
30/08/2020,2858
31/08/2020,2743
1/9/2020,2775
2/9/2020,3075
3/9/2020,3622
4/9/2020,3269
5/9/2020,3128
6/9/2020,3444
7/9/2020,2880
8/9/2020,3046
9/9/2020,3307
10/9/2020,3861
11/9/2020,3737
12/9/2020,3806
13/09/2020,3636
14/09/2020,3141
15/09/2020,3507
16/09/2020,3963
17/09/2020,3635
18/09/2020,3891
19/09/2020,4168
20/09/2020,3989
21/09/2020,4176
22/09/2020,4071
23/09/2020,4465
24/09/2020,4634
25/09/2020,4823
26/09/2020,4494
27/09/2020,3874
28/09/2020,3509
29/09/2020,4002
30/09/2020,4284
1/10/2020,4174
2/10/2020,4317
3/10/2020,4007
4/10/2020,3992
5/10/2020,3622
6/10/2020,4056
7/10/2020,4538
8/10/2020,4850
9/10/2020,4094
10/10/2020,4294
11/10/2020,4497
12/10/2020,3267
13/10/2020,3906
14/10/2020,4127
15/10/2020,4411
16/10/2020,4301
17/10/2020,4301
18/10/2020,4105
19/10/2020,3373
20/10/2020,3602
21/10/2020,4267
22/10/2020,4432
23/10/2020,4369
24/10/2020,4070
25/10/2020,3732
26/10/2020,3222
27/10/2020,3520
28/10/2020,4029
29/10/2020,3565
30/10/2020,2897
31/10/2020,3143
1/11/2020,2699
2/11/2020,2615
3/11/2020,2973
4/11/2020,3356
5/11/2020,4065
6/11/2020,3778
7/11/2020,4262
8/11/2020,3880
9/11/2020,2853
10/11/2020,3779
11/11/2020,3770
12/11/2020,4173
13/11/2020,5444
14/11/2020,5272
15/11/2020,4106
16/11/2020,3535
17/11/2020,3807
18/11/2020,4265
19/11/2020,4708
20/11/2020,4882
21/11/2020,4998
22/11/2020,4360
23/11/2020,4442
24/11/2020,4192
25/11/2020,5534
26/11/2020,4917
27/11/2020,5828
28/11/2020,5418
29/11/2020,6267
30/11/2020,4617
1/12/2020,5092
2/12/2020,5533
3/12/2020,8369
4/12/2020,5803
5/12/2020,6027
6/12/2020,6089
7/12/2020,5754
8/12/2020,5292
9/12/2020,6058
10/12/2020,6033
11/12/2020,6310
12/12/2020,6388
13/12/2020,6189
14/12/2020,5489
15/12/2020,6120
16/12/2020,6725
17/12/2020,7354
18/12/2020,6689
19/12/2020,7751
